2010-07-14-16:27:00.000-06:00I----- HPDRA0386I   pdweb.authn statistics report (partial period commencing 2010-07-14-16:27:00.000-06:00I-----)
2010-07-14-17:13:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:13:00.000-06:00I----- pdweb.authn max	 : 0.051
2010-07-14-17:13:00.000-06:00I----- pdweb.authn avg	 : 0.002
2010-07-14-17:13:00.000-06:00I----- pdweb.authn total	 : 0.850
2010-07-14-17:14:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:14:00.000-06:00I----- pdweb.authn pass	 : 423
2010-07-14-17:14:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:14:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:14:00.000-06:00I----- pdweb.authn max	 : 0.051
2010-07-14-17:14:00.000-06:00I----- pdweb.authn avg	 : 0.002
2010-07-14-17:14:00.000-06:00I----- pdweb.authn total	 : 0.898
2010-07-14-17:15:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:15:00.000-06:00I----- pdweb.authn pass	 : 442
2010-07-14-17:15:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:15:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:15:00.000-06:00I----- pdweb.authn max	 : 0.051
2010-07-14-17:15:00.000-06:00I----- pdweb.authn avg	 : 0.002
2010-07-14-17:15:00.000-06:00I----- pdweb.authn total	 : 0.958
2010-07-14-17:16:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:16:00.000-06:00I----- pdweb.authn pass	 : 463
2010-07-14-17:16:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:16:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:16:00.000-06:00I----- pdweb.authn max	 : 0.051
2010-07-14-17:16:00.000-06:00I----- pdweb.authn avg	 : 0.002
2010-07-14-17:16:00.000-06:00I----- pdweb.authn total	 : 1.008
2010-07-14-17:17:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:17:00.000-06:00I----- pdweb.authn pass	 : 483
2010-07-14-17:17:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:17:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:17:00.000-06:00I----- pdweb.authn max	 : 0.051
2010-07-14-17:17:00.000-06:00I----- pdweb.authn avg	 : 0.002
2010-07-14-17:17:00.000-06:00I----- pdweb.authn total	 : 1.060
2010-07-14-17:18:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:18:00.000-06:00I----- pdweb.authn pass	 : 503
2010-07-14-17:18:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:18:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:18:00.000-06:00I----- pdweb.authn max	 : 0.051
2010-07-14-17:18:00.000-06:00I----- pdweb.authn avg	 : 0.002
2010-07-14-17:18:00.000-06:00I----- pdweb.authn total	 : 1.102
2010-07-14-17:19:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:19:00.000-06:00I----- pdweb.authn pass	 : 524
2010-07-14-17:19:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:19:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:19:00.000-06:00I----- pdweb.authn max	 : 0.051
2010-07-14-17:19:00.000-06:00I----- pdweb.authn avg	 : 0.002
2010-07-14-17:19:00.000-06:00I----- pdweb.authn total	 : 1.140
2010-07-14-17:20:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-17:20:00.000-06:00I----- pdweb.authn pass	 : 544
2010-07-14-17:20:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-17:20:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-17:20:00.000-06:00I----- pdweb.authn max	 : 0.051
2010-07-14-17:20:00.000-06:00I----- pdweb.authn avg	 : 0.002
